//! STRINGS.TXT REFERENCE FILE: make a copy, remove this line, and follow the instructions to add/update languages -- Autogenerated, Last Updated: 2026-03-23T22:37:35.217116+00:00

//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ar
//: ISO 3166-1 code:
//: Language: Arabic
//: Translator(s) - Name <github.com/azizr12>: Qwen // azizr12
//: Last Updated: 2026-08-18
//: Additional Notes: Arabic translation for JPEGView
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d ملف(ملفات) تم إعادة تسميتها، %d ملف(ملفات) تم نسخها، %d مجلد(مجلدات) تم إنشاؤها
%s camera raw images (embedded JPEGs only)	%s صور خام للكاميرا (JPEG مضمن فقط)
%s images	%s صور
%s images (processed by Window Imaging Component - WIC)	%s صور (تمت معالجتها بواسطة مكون تصوير النوافذ - WIC)
'My Pictures' folder	مجلد 'صورى'
Example:	مثال:
Exif Date Time:	تاريخ ووقت Exif:
Exposure bias (EV):	انحراف التعرض الضوئي (EV):
Exposure time (s):	زمن التعرض الضوئي (ث):
Extension	الامتداد
Extracted number from original file name	الرقم المستخرج من اسم الملف الأصلي
F-Number:	رقم F (فتحة العدسة):
File name	اسم الملف
File size	حجم الملف
File type	نوع الملف
Fill page with crop	ملء الصفحة مع القص
Fill with crop	ملء مع القص
Fill with crop (no zoom)	ملء مع القص (بدون تكبير)
Filter:	مرشح:
Fit image to screen	ملاءمة الصورة للشاشة
Fit to page	ملاءمة للصفحة
Fit to screen	ملاءمة للشاشة
Fit to screen (no zoom)	ملاءمة للشاشة (بدون تكبير)
Flash fired:	تم إطلاق الفلاش:
Focal length (mm):	البعد البؤري (مم):
Forward mouse button	زر الماوس الأمامي
Full screen mode	وضع ملء الشاشة
Goto first/last image of current folder (using sort order as defined)	الانتقال إلى الصورة الأولى/الأخيرة في المجلد الحالي (باستخدام ترتيب الفرز كما هو محدد)
Goto next image	الانتقال إلى الصورة التالية
Goto previous image	الانتقال إلى الصورة السابقة
Height	الارتفاع
Hide histogram	إخفاء المدرج التكراري
High quality resampling	إعادة التشكيل بجودة عالية
Home page of the original project	الصفحة الرئيسية للمشروع الأصلي
Home page of this fork	الصفحة الرئيسية لهذا المتفرع
Hour / Minute (as numbers)	ساعة / دقيقة (كأرقام)
ISO Speed:	حساسية ISO:
Image Pixels	بكسل الصورة
Image files in folder	ملفات الصور في المجلد
Image height:	ارتفاع الصورة:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	يجب أن يكون عرض وارتفاع الصورة قابلاً للقسمة على حجم كتلة JPEG (8 أو 16) للتحويلات بدون فقدان!
Image width:	عرض الصورة:
Images	صور
Increase/decrease auto color cast correction amount	زيادة/تقليل كمية تصحيح صبغة اللون التلقائي
Increase/decrease auto contrast correction amount	زيادة/تقليل كمية تصحيح التباين التلقائي
Increase/decrease brightness	زيادة/تقليل السطوع
Increase/decrease contrast	زيادة/تقليل التباين
Increase/decrease darkening of highlights (LDC must be on)	زيادة/تقليل تغميق الإضاءات (يجب أن يكون LDC مفعلاً)
Increase/decrease lightening of shadows (LDC must be on)	زيادة/تقليل تفتيح الظلال (يجب أن يكون LDC مفعلاً)
Increase/decrease sharpness	زيادة/تقليل الحدة
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	صلاحيات غير كافية لتغيير الامتياز (DACL) على إدخال التسجيل. متابعة؟
JPEGView Help	مساعدة JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView هو عارض/محرر صور سريع وخفيف وقابل للتكوين للغاية لصور JPEG و BMP و PNG و WEBP و TGA و GIF و TIFF مع واجهة مستخدم رسومية دنيا.
JPEGView is registered as default viewer for the selected file formats.	تم تسجيل JPEGView كعارض افتراضي لتنسيقات الملفات المحددة.
Keep aspect ratio on crop	الحفاظ على نسبة العرض إلى الارتفاع عند القص
Keep parameters	الحفاظ على المعلمات
Keep processing parameters between images	الحفاظ على معلمات المعالجة بين الصور
Known keys:	المفاتيح المعروفة:
Lanczos/Bicubic	Lanczos/Bicubic
Landscape	أفقي
Landscape picture enhancement mode	وضع تحسين صور المناظر الطبيعية
Last modification date/time	تاريخ/وقت آخر تعديل
Left	يسار
Left mouse & drag	زر الماوس الأيسر والسحب
Licensed under the GNU general public license (GPL), see readme file for details	مرخص بموجب رخصة جنو العمومية العامة (GPL)، راجع ملف readme للتفاصيل
Lighten Shadows	تفتيح الظلال
Local density correction	تصحيح الكثافة المحلية
Location:	الموقع:
Loop folder	تكرار المجلد
Loop recursively	تكرار بشكل متكرر
Loop siblings	تكرار المجلدات الشقيقة
Loop through files in current directory and all sibling folders (folders on same level)	التكرار عبر الملفات في الدليل الحالي وجميع المجلدات الشقيقة (المجلدات على نفس المستوى)
Loop through files in current directory and all subfolders	التكرار عبر الملفات في الدليل الحالي وجميع المجلدات الفرعية
Loop through files in current folder	التكرار عبر الملفات في المجلد الحالي
Lossless JPEG transformations	تحويلات JPEG بدون فقدان
M - G	أرجواني - أخضر
Magenta-Green	أرجواني-أخضر
Manage 'Open image with' menu...	إدارة قائمة 'فتح الصورة باستخدام'...
Margins:	الهوامش:
Mark image for toggling. Use %s to toggle between marked and current image	تحديد الصورة للتبديل. استخدم %s للتبديل بين الصورة المحددة والصورة الحالية
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	تكبير/استعادة إلى/من سطح المكتب الافتراضي (لأنظمة الشاشات المتعددة فقط)
Menu entries:	إدخالات القائمة:
Modification date:	تاريخ التعديل:
Modifier keys:	مفاتيح التعديل:
Month / Short form (text)	شهر / شكل مختصر (نص)
Mouse wheel	عجلة الماوس
Navigation	التنقل
New	جديد
New height:	الارتفاع الجديد:
New name (>> : file gets copied)	الاسم الجديد (>> : يتم نسخ الملف)
New name contains backslash character!	الاسم الجديد يحتوي على حرف شرطة مائلة عكسية!
New size:	الحجم الجديد:
New width:	العرض الجديد:
Next image	الصورة التالية
No image loaded!	لم يتم تحميل أي صورة!
No user INI file exists yet. Create user INI file from INI file template?	لا يوجد ملف INI للمستخدم بعد. هل تريد إنشاء ملف INI للمستخدم من نموذج ملف INI؟
None	لا شيء
Not enough memory available	لا توجد ذاكرة كافية متاحة
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	ملاحظة: اضبط المفتاح 'CropWithoutPromptLosslessJPEG=true' في ملف INI للقص دائماً بدون إظهار هذه الرسالة.
Number (consecutively numbered)	رقم (مرقم تسلسلياً)
Number of CPU cores used	عدد أنوية المعالج المستخدمة
Number of JPEG files in folder: %d	عدد ملفات JPEG في المجلد: %d
Number with N digits	رقم بـ N خانة
OK	موافق
Old name	الاسم القديم
Open folder containing image and select in Windows Explorer	فتح المجلد الذي يحتوي على الصورة وتحديده في مستكشف ويندوز
Open new image or slideshow file	فتح صورة جديدة أو ملف عرض شرائح
Order files by	ترتيب الملفات حسب
Orientation:	الاتجاه:
Original file extension	امتداد الملف الأصلي
Original file name (with extension)	اسم الملف الأصلي (مع الامتداد)
Original file name (without extension)	اسم الملف الأصلي (بدون امتداد)
Pan image	تحريك الصورة
Paper size:	حجم الورق:
Parameter DB	قاعدة بيانات المعلمات
Parameter DB error	خطأ في قاعدة بيانات المعلمات
Parameter DB file '%s' could not be opened!	لا يمكن فتح ملف قاعدة بيانات المعلمات '%s'!
Parameter DB file '%s' is not valid (invalid header)!	ملف قاعدة بيانات المعلمات '%s' غير صالح (رأس غير صالح)!
Paste from clipboard	لصق من الحافظة
Pasting image from clipboard failed!	فشل لصق الصورة من الحافظة!
Performing the lossless transformation failed!	فشل إجراء التحويل بدون فقدان!
Performing the transformation failed	فشل إجراء التحويل
Perspective Correction	تصحيح المنظور
Pixels	بكسل
Placeholders:	العناصر النائبة:
Portrait	عمودي
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	اضغط 'موافق' لمتابعة التسجيل أو 'إلغاء' لإلغاء جميع عمليات التسجيل.
Press ESC to exit...	اضغط ESC للخروج...
Press any key to search the subdirectories for image files.	اضغط على أي مفتاح للبحث في المجلدات الفرعية عن ملفات الصور.
Preview	معاينة
Previous image	الصورة السابقة
Print	طباعة
Print Image	طباعة الصورة
Printer driver	برنامج تشغيل الطابعة
Printer:	الطابعة:
Radius	نصف القطر
Random	عشوائي
Reading the JPEG file from disk failed	فشل قراءة ملف JPEG من القرص
Reason:	السبب:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	يتطلب تسجيل أو إلغاء تسجيل امتدادات الملفات في منطقة التسجيل هذه امتيازات مسؤول ولا يمكن إجراؤه في JPEGView.
Registration applies to the current user only.	ينطبق التسجيل على المستخدم الحالي فقط.
Remove from	إزالة من
Rename	إعادة تسمية
Rename/copy images to:	إعادة تسمية/نسخ الصور إلى:
Renaming file failed!	فشل إعادة تسمية الملف!
Reset	إعادة تعيين
Resize Image	تغيير حجم الصورة
Right	يمين
Right mouse button: Context menu	زر الماوس الأيمن: قائمة السياق
Roll from bottom	تمرير من الأسفل
Roll from left	تمرير من اليسار
Roll from right	تمرير من اليمين
Roll from top	تمرير من الأعلى
Rotate Image	تدوير الصورة
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	تدوير الملف الحالي على القرص بدون فقدان بمقدار 270 درجة (يجب أن يكون العرض/الارتفاع مضاعفاً لـ 16)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	تدوير الملف الحالي على القرص بدون فقدان بمقدار 90 درجة (يجب أن يكون العرض/الارتفاع مضاعفاً لـ 16)
Rotate image 90 deg clockwise	تدوير الصورة 90 درجة مع عقارب الساعة
Rotate image 90 deg counter-clockwise	تدوير الصورة 90 درجة عكس عقارب الساعة
Rotate image and fit to screen	تدوير الصورة وملاءمتها للشاشة
Rotate image by user-defined angle	تدوير الصورة بزاوية يحددها المستخدم
Rotate the image by dragging with the mouse.	قم بتدوير الصورة عن طريق السحب بالماوس.
SIMD mode used	وضع SIMD المستخدم
Same as Image	نفس الصورة
Saturation	التشبع
Save	حفظ
Save (%s) / delete (%s) image processing parameters into/from parameter DB	حفظ (%s) / حذف (%s) معلمات معالجة الصورة من/إلى قاعدة بيانات المعلمات
Save as (in screen size/resolution)	حفظ باسم (بحجم/دقة الشاشة)
Save as template	حفظ كنموذج
Save cropped image	حفظ الصورة المقصوصة
Save processed image to JPEG file (original size)	حفظ الصورة المعالجة في ملف JPEG (الحجم الأصلي)
Save processed image to JPEG file (screen size)	حفظ الصورة المعالجة في ملف JPEG (حجم الشاشة)
Save to	حفظ في
Scaling mode:	وضع القياس:
Screen Pixels	بكسل الشاشة
Scroll from bottom	تمرير من الأسفل
Scroll from left	تمرير من اليسار
Scroll from right	تمرير من اليمين
Scroll from top	تمرير من الأعلى
Select Printer...	تحديد الطابعة...
Select all	تحديد الكل
Select application	تحديد التطبيق
Select file to display in 'File Open' dialog	تحديد الملف للعرض في مربع حوار 'فتح الملف'
Select none	إلغاء تحديد الكل
Select parameter DB to restore	تحديد قاعدة بيانات المعلمات لاستعادتها
Set Fixed Crop Size	تعيين حجم قص ثابت
Set JPEGView as default image viewer	تعيين JPEGView كعارض صور افتراضي
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	تعيين المهلة إلى n/10 ثانية، أو n/100 ثانية على التوالي (Ctrl+Shift)
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	هل يجب الحفاظ على الإدخالات الحالية (نعم) أم يتم استبدالها بالإدخالات المستوردة (لا)؟
Sharpen	زيادة الحدة
Sharpen low	زيادة حدة منخفضة
Sharpen medium	زيادة حدة متوسطة
Shortcut Help	مساعدة الاختصارات
Shortcut key:	مفتاح الاختصار:
Show filename	إظهار اسم الملف
Show first image in folder	إظهار الصورة الأولى في المجلد
Show grid lines	إظهار خطوط الشبكة
Show histogram	إظهار المدرج التكراري
Show last image in folder	إظهار الصورة الأخيرة في المجلد
Show navigation panel	إظهار لوحة التنقل
Show next image	إظهار الصورة التالية
Show picture info (EXIF)	إظهار معلومات الصورة (EXIF)
Show previous image	إظهار الصورة السابقة
Show/hide file name	إظهار/إخفاء اسم الملف
Show/hide navigation panel	إظهار/إخفاء لوحة التنقل
Show/hide picture information (EXIF data)	إظهار/إخفاء معلومات الصورة (بيانات EXIF)
Show/hide this help text	إظهار/إخفاء نص المساعدة هذا
Size:	الحجم:
Slide from bottom	انزلاق من الأسفل
Slide from left	انزلاق من اليسار
Slide from right	انزلاق من اليمين
Slide from top	انزلاق من الأعلى
Slideshow	عرض شرائح
Slideshow with timeout of 'n' seconds (ESC to stop)	عرض شرائح بمهلة 'n' ثانية (ESC للإيقاف)
Software:	البرنامج:
Sort images by creation date, resp. modification date, resp. file name	فرز الصور حسب تاريخ الإنشاء، أو تاريخ التعديل، أو اسم الملف
Source:	المصدر:
Target folders that do not yet exist are created as needed.	يتم إنشاء المجلدات المستهدفة التي غير موجودة حسب الحاجة.
The directory '%s' does not contain any image files!	الدليل '%s' لا يحتوي على أي ملفات صور!
The file '%s' could not be copied!	لا يمكن نسخ الملف '%s'!
The file '%s' could not be read!	لا يمكن قراءة الملف '%s'!
The file '%s' could not be renamed!	لا يمكن إعادة تسمية الملف '%s'!
The file '%s' does not contain a list of file names!	الملف '%s' لا يحتوي على قائمة بأسماء الملفات!
The file is read-only!	الملف للقراءة فقط!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	لا يمكن إلغاء تسجيل امتدادات الملفات التالية لأنها مسجلة في منطقة تسجيل 'الجهاز المحلي'.
The following image extensions are protected by the operating system.	امتدادات الصور التالية محمية بواسطة نظام التشغيل.
The imported param DB contains entries already present in active param DB.	تحتوي قاعدة بيانات المعلمات المستوردة على إدخالات موجودة بالفعل في قاعدة بيانات المعلمات النشطة.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	الحجم الجديد كبير جداً - العرض أو الارتفاع أكبر من 65535 أو العدد الإجمالي للبكسل كبير جداً!
The old parameter DB file '%s' could not be renamed during conversion to new format!	لا يمكن إعادة تسمية ملف قاعدة بيانات المعلمات القديم '%s' أثناء التحويل إلى التنسيق الجديد!
The operation failed because not enough memory is available!	فشلت العملية لأنه لا توجد ذاكرة كافية متاحة!
The parameter DB file '%s' has been created by a newer version of JPEGView!	تم إنشاء ملف قاعدة بيانات المعلمات '%s' بواسطة إصدار أحدث من JPEGView!
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	يمكن تطبيق التحويل إذا تم قص الصورة إلى الحجم المطابق التالي، لكن هذا سيؤدي إلى إزالة بعض بكسلات الحدود.
These values will override the values from the INI file located in the program folder of JPEGView!	ستتجاوز هذه القيم القيم من ملف INI الموجود في مجلد برنامج JPEGView!
Threshold	العتبة
Title:	العنوان:
Toggle between screens (only for multi-monitor systems)	التبديل بين الشاشات (لأنظمة الشاشات المتعددة فقط)
Toggle window always on top mode	تبديل وضع النافذة دائماً في الأعلى
Toggle window title bar hidden mode	تبديل وضع إخفاء شريط عنوان النافذة
Top	أعلى
Transition Effect	تأثير الانتقال
Unregistering not possible	إلغاء التسجيل غير ممكن
Unsharp mask...	قناع الوضوح...
Update user settings with new settings from settings template file?	تحديث إعدادات المستخدم بالإعدادات الجديدة من ملف نموذج الإعدادات؟
Use the 'Default Programs' configuration dialog from the operating system instead.	استخدم مربع حوار تكوين 'البرامج الافتراضية' من نظام التشغيل بدلاً من ذلك.
Use the mouse to draw a line that shall be horizontal or vertical.	استخدم الماوس لرسم خط يجب أن يكون أفقياً أو عمودياً.
Warning	تحذير
Width	العرض
Window mode	وضع النافذة
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	يمنع Windows 8 (وإصدارات أحدث) JPEGView من تغيير البرنامج الافتراضي لامتدادات الملفات هذه.
Writing the resulting JPEG file to disk failed	فشل كتابة ملف JPEG الناتج على القرص
Y - B	أصفر - أزرق
Year short form (2 digits)	سنة شكل مختصر (رقمان)
Yellow-Blue	أصفر-أزرق
Zoom 1:1 (100 %)	تكبير 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	تكبير (%s)/تصغير (%s)
Zoom in/out image	تكبير/تصغير الصورة
Zoom mode (drag mouse to zoom)	وضع التكبير (اسحب الماوس للتكبير)
and image processing (brightness/contrast/sharpen) parameters between images	ومعلمات معالجة الصور (السطوع/التباين/الحدة) بين الصور
cm	سم
in	بوصة
new menu entry	إدخال قائمة جديد
no	لا
off	إيقاف
on	تشغيل
user-defined	محدد من قبل المستخدم
yes	نعم

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	إيقاف عرض الشرائح/الفيلم
Open image...	فتح صورة...
Open image with	فتح الصورة باستخدام
Save processed image...	حفظ الصورة المعالجة...
Reload image	إعادة تحميل الصورة
Open containing folder in Explorer	فتح المجلد المحتوي في المستكشف
Print image...	طباعة الصورة...
Batch rename/copy...	إعادة تسمية/نسخ على دفعات...
Set modification date	تعيين تاريخ التعديل
to current date	إلى التاريخ الحالي
to EXIF date	إلى تاريخ EXIF
to EXIF date (all files in folder)	إلى تاريخ EXIF (جميع الملفات في المجلد)
Set as desktop wallpaper	تعيين كخلفية لسطح المكتب
Use original image	استخدام الصورة الأصلية
Use processed image as displayed	استخدام الصورة المعالجة كما هي معروضة
Copy to clipboard	نسخ إلى الحافظة
Copy original size image	نسخ الصورة بالحجم الأصلي
Copy file path	نسخ مسار الملف
Display order	ترتيب العرض
Modification date	تاريخ التعديل
Creation date	تاريخ الإنشاء
Play folder as slideshow/movie	تشغيل المجلد كعرض شرائح/فيلم
Waiting time	وقت الانتظار
1 sec	1 ثانية
2 sec	2 ثانية
3 sec	3 ثوانٍ
4 sec	4 ثوانٍ
5 sec	5 ثوانٍ
7 sec	7 ثوانٍ
10 sec	10 ثوانٍ
20 sec	20 ثانية
Transition Speed	سرعة الانتقال
Very fast	سريع جداً
Fast	سريع
Normal	عادي
Slow	بطيء
Very slow	بطيء جداً
Movie	فيلم
Playback speed	سرعة التشغيل
5 fps	5 إطار/ثانية
10 fps	10 إطار/ثانية
25 fps	25 إطار/ثانية
